Tiempo_s,Phi_rel_deg,Phi_raw_deg,AX_g,AY_g,AZ_g,A0_V,A2_V,Theta0_raw,Theta0_filtrado,DXL_Corriente_mA,DXL_Corriente_abs_mA,DXL_Posicion_pulsos,DXL_Posicion_deg,DXL_Goal_Position_deg,Pulsos_Objetivo,Edad_dato_Arduino_s,Tau_calculado_Nmm,Corriente_calculada_mA,Test_ID,Motivo_detencion
0.000312524,-18.2117495184445,0,0.2617,-0.0281,1.0464,2.986,2.004,0.730892567655518,0.730892567655518,-121,121,1901,167.080078125,127.08984375,0,0.000312524,-12.4767215608242,123.933285599283,Giro_Off_intento5_180deg_2000_pulsos_Mu_2.20,TIEMPO_MAXIMO
0.060760993,-7.04074951844453,11.171,0.5281,-0.0903,1.0876,2.869,2.077,0.96071424345336,0.788347986604978,-124,124,1901,167.080078125,127.08984375,255,0,-5.820726009854,129.721107817518,Giro_Off_intento5_180deg_2000_pulsos_Mu_2.20,TIEMPO_MAXIMO
0.112651765,-6.32974951844453,11.882,0.5166,-0.0198,1.0103,2.869,2.077,0.96071424345336,0.831439550817074,-130,130,1901,167.080078125,127.08984375,255,0,-4.8293994849652,130.583130882639,Giro_Off_intento5_180deg_2000_pulsos_Mu_2.20,TIEMPO_MAXIMO
0.167310447,-5.28474951844453,12.927,0.5103,-0.0034,1.0083,2.864,2.077,0.970535682590021,0.866213583760311,-131,131,1901,167.080078125,127.08984375,255,0,-3.3758313449026,131.847103178346,Giro_Off_intento5_180deg_2000_pulsos_Mu_2.20,TIEMPO_MAXIMO
0.215342958,-4.4407495184445,13.771,0.511,-0.0186,0.9917,2.869,2.072,0.96071424345336,0.889838748683573,-132,132,1901,167.080078125,127.08984375,255,0,-2.2051346977507,132.865100262825,Giro_Off_intento5_180deg_2000_pulsos_Mu_2.20,TIEMPO_MAXIMO
0.263339564,-3.8167495184445,14.395,0.5054,-0.0232,0.9949,2.874,2.077,0.9508928043167,0.905102262591855,-133,133,1901,167.080078125,127.08984375,255,0,-1.3416459160773,133.615960072976,Giro_Off_intento5_180deg_2000_pulsos_Mu_2.20,TIEMPO_MAXIMO
0.311212953,-3.2957495184445,14.916,0.5291,-0.0046,1.0034,2.869,2.077,0.96071424345336,0.919005257807231,-134,134,1901,167.080078125,127.08984375,255,0,-0.6221065133433,134.241646510136,Giro_Off_intento5_180deg_2000_pulsos_Mu_2.20,TIEMPO_MAXIMO
0.359225859,-2.6927495184445,15.519,0.5259,-0.0112,0.9985,2.869,2.082,0.96071424345336,0.929432504218763,-135,135,1901,167.080078125,127.08984375,255,0,0.2089863546927,134.964335960602,Giro_Off_intento5_180deg_2000_pulsos_Mu_2.20,TIEMPO_MAXIMO
0.407304587,-2.2007495184445,16.011,0.5522,-0.0105,0.9836,2.864,2.072,0.970535682590021,0.939708298811578,-135,135,1901,167.080078125,127.08984375,255,0,0.8856840892891,135.552768773295,Giro_Off_intento5_180deg_2000_pulsos_Mu_2.20,TIEMPO_MAXIMO
0.455172411,-1.8307495184445,16.381,0.5627,0.0015,0.9836,2.869,2.072,0.96071424345336,0.944959784972023,-136,136,1901,167.080078125,127.08984375,255,0,1.3937166719701,135.994536236496,Giro_Off_intento5_180deg_2000_pulsos_Mu_2.20,TIEMPO_MAXIMO
