Tiempo_s,ADC,Voltaje_V,Bloque,PesoProgramado_kg
0.000,501,2.448680,0,0.000000
0.100,501,2.448680,0,0.000000
0.200,501,2.448680,0,0.000000
0.300,501,2.448680,0,0.000000
0.400,501,2.448680,0,0.000000
0.500,501,2.448680,0,0.000000
0.600,501,2.448680,0,0.000000
0.701,501,2.448680,0,0.000000
0.800,501,2.448680,0,0.000000
0.900,501,2.448680,0,0.000000
1.000,501,2.448680,0,0.000000
1.100,501,2.448680,0,0.000000
1.200,501,2.448680,0,0.000000
1.300,501,2.448680,0,0.000000
1.400,501,2.448680,0,0.000000
1.500,501,2.448680,0,0.000000
1.600,501,2.448680,0,0.000000
1.700,501,2.448680,0,0.000000
1.800,501,2.448680,0,0.000000
1.900,501,2.448680,0,0.000000
2.000,501,2.448680,0,0.000000
2.100,501,2.448680,0,0.000000
2.200,501,2.448680,0,0.000000
2.300,501,2.448680,0,0.000000
2.400,501,2.448680,0,0.000000
2.500,501,2.448680,0,0.000000
2.600,501,2.448680,0,0.000000
2.700,501,2.448680,0,0.000000
2.800,501,2.448680,0,0.000000
2.900,501,2.448680,0,0.000000
3.000,501,2.448680,0,0.000000
3.100,501,2.448680,0,0.000000
3.200,501,2.448680,0,0.000000
3.300,501,2.448680,0,0.000000
3.400,501,2.448680,0,0.000000
3.500,501,2.448680,0,0.000000
3.600,501,2.448680,0,0.000000
3.700,501,2.448680,0,0.000000
3.800,501,2.448680,0,0.000000
3.901,501,2.448680,0,0.000000
4.000,501,2.448680,0,0.000000
4.100,501,2.448680,0,0.000000
4.200,501,2.448680,0,0.000000
4.300,501,2.448680,0,0.000000
4.400,501,2.448680,0,0.000000
4.500,501,2.448680,0,0.000000
4.600,501,2.448680,0,0.000000
4.700,501,2.448680,0,0.000000
4.800,501,2.448680,0,0.000000
4.900,501,2.448680,0,0.000000
5.000,501,2.448680,1,0.100000
5.100,501,2.448680,1,0.100000
5.200,501,2.448680,1,0.100000
5.300,501,2.448680,1,0.100000
5.400,501,2.448680,1,0.100000
5.500,501,2.448680,1,0.100000
5.600,501,2.448680,1,0.100000
5.700,501,2.448680,1,0.100000
5.800,501,2.448680,1,0.100000
5.900,501,2.448680,1,0.100000
6.000,501,2.448680,1,0.100000
6.100,501,2.448680,1,0.100000
6.200,501,2.448680,1,0.100000
6.300,501,2.448680,1,0.100000
6.400,501,2.448680,1,0.100000
6.500,501,2.448680,1,0.100000
6.600,501,2.448680,1,0.100000
6.700,501,2.448680,1,0.100000
6.800,492,2.404692,1,0.100000
6.900,469,2.292278,1,0.100000
7.000,450,2.199414,1,0.100000
7.101,451,2.204301,1,0.100000
7.200,450,2.199414,1,0.100000
7.300,451,2.204301,1,0.100000
7.400,450,2.199414,1,0.100000
7.500,450,2.199414,1,0.100000
7.600,451,2.204301,1,0.100000
7.700,450,2.199414,1,0.100000
7.800,450,2.199414,1,0.100000
7.900,450,2.199414,1,0.100000
8.000,450,2.199414,1,0.100000
8.100,450,2.199414,1,0.100000
8.200,450,2.199414,1,0.100000
8.300,450,2.199414,1,0.100000
8.400,451,2.204301,1,0.100000
8.500,450,2.199414,1,0.100000
8.600,450,2.199414,1,0.100000
8.700,451,2.204301,1,0.100000
8.800,450,2.199414,1,0.100000
